gameid,teamname,result
ESPORTSTMNT01_2695387,NRG Kia,1
ESPORTSTMNT01_2695415,100 Thieves,1
ESPORTSTMNT01_2695415,Cloud9,0
ESPORTSTMNT01_2695435,Immortals,0
ESPORTSTMNT01_2695435,Team Liquid,1
ESPORTSTMNT01_2695450,Golden Guardians,1
ESPORTSTMNT01_2695450,TSM,0
ESPORTSTMNT01_2695459,Evil Geniuses,1
ESPORTSTMNT01_2695459,Dignitas,0
ESPORTSTMNT01_2705385,Dplus KIA,1
ESPORTSTMNT01_2705385,OKSavingsBank Brion,0
ESPORTSTMNT01_2695530,OKSavingsBank Brion,0
ESPORTSTMNT01_2695530,Dplus KIA,1
ESPORTSTMNT01_2695541,Gen.G,0
ESPORTSTMNT01_2695541,Hanwha Life Esports,1
ESPORTSTMNT01_2695573,Gen.G,1
ESPORTSTMNT01_2695573,Hanwha Life Esports,0
ESPORTSTMNT01_2695586,Hanwha Life Esports,0
ESPORTSTMNT01_2695586,Gen.G,1
ESPORTSTMNT01_2695682,SK Gaming,0
ESPORTSTMNT01_2695682,GiantX,1
ESPORTSTMNT01_2695708,LOUD,1
ESPORTSTMNT01_2695708,FURIA,0
ESPORTSTMNT01_2695722,MAD Lions KOI,1
ESPORTSTMNT01_2695722,Astralis,0
ESPORTSTMNT01_2705675,Team BDS,0
ESPORTSTMNT01_2705675,Rogue,1
ESPORTSTMNT01_2695774,Miners,1
ESPORTSTMNT01_2695774,Los Grandes,0
ESPORTSTMNT01_2695805,Fnatic,1
ESPORTSTMNT01_2695805,Misfits Gaming,0
ESPORTSTMNT01_2695807,KaBuM! Esports,1
ESPORTSTMNT01_2695807,INTZ,0
ESPORTSTMNT01_2705762,G2 Esports,0
ESPORTSTMNT01_2705762,Team Vitality,1
ESPORTSTMNT01_2695835,Rensga eSports,0
ESPORTSTMNT01_2695835,RED Canids,1
ESPORTSTMNT01_2695850,100 Thieves,0
ESPORTSTMNT01_2695850,Dignitas,1
ESPORTSTMNT01_2705832,Dignitas,1
ESPORTSTMNT01_2705832,100 Thieves,0
ESPORTSTMNT01_2705845,Team Liquid,1
ESPORTSTMNT01_2705845,FlyQuest,0
ESPORTSTMNT01_2705859,FlyQuest,0
ESPORTSTMNT01_2705859,Team Liquid,1
ESPORTSTMNT01_2705912,BNK FEARX,0
ESPORTSTMNT01_2705912,T1,1
ESPORTSTMNT01_2705943,BNK FEARX,0
ESPORTSTMNT01_2705943,T1,1
ESPORTSTMNT01_2705951,Kwangdong Freecs,0
ESPORTSTMNT01_2705951,DRX,1
ESPORTSTMNT01_2705978,Kwangdong Freecs,0
ESPORTSTMNT01_2705978,DRX,1
ESPORTSTMNT01_2696159,Liberty,1
ESPORTSTMNT01_2696159,Rensga eSports,0
ESPORTSTMNT01_2696199,RED Canids,1
ESPORTSTMNT01_2696199,LOUD,0
ESPORTSTMNT01_2696249,INTZ,0
ESPORTSTMNT01_2696249,Miners,1
ESPORTSTMNT01_2696303,Los Grandes,0
ESPORTSTMNT01_2696303,FURIA,1
ESPORTSTMNT01_2696307,Evil Geniuses,1
ESPORTSTMNT01_2696307,Golden Guardians,0
ESPORTSTMNT01_2706264,Golden Guardians,0
ESPORTSTMNT01_2706264,Evil Geniuses,1
ESPORTSTMNT01_2706274,Cloud9,1
ESPORTSTMNT01_2706274,NRG Kia,0
ESPORTSTMNT01_2706287,NRG Kia,1
ESPORTSTMNT01_2706287,Cloud9,0
ESPORTSTMNT01_2706306,Cloud9,1
ESPORTSTMNT01_2706306,NRG Kia,0
ESPORTSTMNT02_2570899,Gen.G,1
ESPORTSTMNT02_2570899,Kwangdong Freecs,0
ESPORTSTMNT02_2570934,Kwangdong Freecs,0
ESPORTSTMNT02_2570934,Gen.G,1
ESPORTSTMNT02_2570944,DRX,1
ESPORTSTMNT02_2570944,OKSavingsBank Brion,0
ESPORTSTMNT02_2570976,OKSavingsBank Brion,0
ESPORTSTMNT02_2570976,DRX,1
ESPORTSTMNT02_2551149,KT Rolster,1
ESPORTSTMNT02_2551149,BNK FEARX,0
ESPORTSTMNT02_2551178,BNK FEARX,1
ESPORTSTMNT02_2551178,KT Rolster,0
ESPORTSTMNT02_2551180,KT Rolster,0
ESPORTSTMNT02_2551180,BNK FEARX,1
ESPORTSTMNT02_2551187,T1,1
ESPORTSTMNT02_2551187,Nongshim RedForce,0
ESPORTSTMNT02_2551235,Nongshim RedForce,1
ESPORTSTMNT02_2551235,T1,0
ESPORTSTMNT02_2551249,T1,1
ESPORTSTMNT02_2551249,Nongshim RedForce,0
ESPORTSTMNT01_2697844,paiN Gaming,1
ESPORTSTMNT01_2697844,Liberty,0
ESPORTSTMNT01_2697879,paiN Gaming,0
ESPORTSTMNT01_2697879,KaBuM! Esports,1
ESPORTSTMNT02_2551560,Hanwha Life Esports,0
ESPORTSTMNT02_2551560,Dplus KIA,1
ESPORTSTMNT02_2551611,Hanwha Life Esports,0
ESPORTSTMNT02_2551611,Dplus KIA,1
ESPORTSTMNT02_2551615,OKSavingsBank Brion,1
ESPORTSTMNT02_2551615,Kwangdong Freecs,0
ESPORTSTMNT02_2551647,Kwangdong Freecs,0
ESPORTSTMNT02_2551647,OKSavingsBank Brion,1
ESPORTSTMNT05_2530235,Team BDS,1
ESPORTSTMNT05_2530235,Astralis,0
ESPORTSTMNT05_2530245,GiantX,0
ESPORTSTMNT05_2530245,MAD Lions KOI,1
ESPORTSTMNT05_2520280,Team Vitality,1
ESPORTSTMNT05_2520280,SK Gaming,0
ESPORTSTMNT05_2530261,Rogue,1
ESPORTSTMNT05_2530261,Fnatic,0
ESPORTSTMNT05_2530265,G2 Esports,1
ESPORTSTMNT05_2530265,Misfits Gaming,0
ESPORTSTMNT02_2551857,Team Liquid,0
ESPORTSTMNT02_2551857,Dignitas,1
ESPORTSTMNT02_2571870,Team Liquid,1
ESPORTSTMNT02_2571870,Dignitas,0
ESPORTSTMNT02_2571892,Dignitas,0
ESPORTSTMNT02_2571892,Team Liquid,1
ESPORTSTMNT02_2571901,Dignitas,0
ESPORTSTMNT02_2571901,Team Liquid,1
ESPORTSTMNT02_2571957,KT Rolster,1
ESPORTSTMNT02_2571957,Gen.G,0
ESPORTSTMNT02_2572001,Gen.G,0
ESPORTSTMNT02_2572001,KT Rolster,1
ESPORTSTMNT02_2572011,Nongshim RedForce,0
ESPORTSTMNT02_2572011,DRX,1
ESPORTSTMNT02_2572063,Nongshim RedForce,0
ESPORTSTMNT02_2572063,DRX,1
ESPORTSTMNT02_2552091,Team BDS,1
ESPORTSTMNT02_2552091,SK Gaming,0
ESPORTSTMNT02_2552109,RED Canids,0
ESPORTSTMNT02_2552109,Liberty,1
ESPORTSTMNT02_2572200,Astralis,0
ESPORTSTMNT02_2572200,GiantX,1
ESPORTSTMNT02_2572232,MAD Lions KOI,0
ESPORTSTMNT02_2572232,Misfits Gaming,1
ESPORTSTMNT02_2552154,Miners,1
ESPORTSTMNT02_2552154,paiN Gaming,0
ESPORTSTMNT02_2552210,Rogue,1
ESPORTSTMNT02_2552210,Team Vitality,0
ESPORTSTMNT02_2552213,KaBuM! Esports,1
ESPORTSTMNT02_2552213,Rensga eSports,0
ESPORTSTMNT02_2572311,Fnatic,0
ESPORTSTMNT02_2572311,G2 Esports,1
ESPORTSTMNT02_2552248,FURIA,1
ESPORTSTMNT02_2552248,INTZ,0
ESPORTSTMNT02_2552282,LOUD,1
ESPORTSTMNT02_2552282,Los Grandes,0
ESPORTSTMNT02_2552297,Evil Geniuses,1
ESPORTSTMNT02_2552297,Cloud9,0
ESPORTSTMNT02_2552332,Cloud9,0
ESPORTSTMNT02_2552332,Evil Geniuses,1
ESPORTSTMNT02_2552343,Cloud9,0
ESPORTSTMNT02_2552343,Evil Geniuses,1
ESPORTSTMNT02_2552430,Dplus KIA,1
ESPORTSTMNT02_2552430,T1,0
ESPORTSTMNT02_2552458,T1,1
ESPORTSTMNT02_2552458,Dplus KIA,0
ESPORTSTMNT02_2552463,Dplus KIA,0
ESPORTSTMNT02_2552463,T1,1
ESPORTSTMNT02_2552467,Hanwha Life Esports,1
ESPORTSTMNT02_2552467,BNK FEARX,0
ESPORTSTMNT02_2552486,BNK FEARX,0
ESPORTSTMNT02_2552486,Hanwha Life Esports,1
ESPORTSTMNT02_2552610,RED Canids,1
ESPORTSTMNT02_2552610,KaBuM! Esports,0
ESPORTSTMNT02_2552653,Liberty,1
ESPORTSTMNT02_2552653,LOUD,0
ESPORTSTMNT02_2552740,Rensga eSports,1
ESPORTSTMNT02_2552740,Miners,0
ESPORTSTMNT02_2572808,Evil Geniuses,0
ESPORTSTMNT02_2572808,Team Liquid,1
ESPORTSTMNT02_2552773,paiN Gaming,0
ESPORTSTMNT02_2552773,FURIA,1
ESPORTSTMNT02_2552817,INTZ,1
ESPORTSTMNT02_2552817,Los Grandes,0
ESPORTSTMNT02_2552854,Evil Geniuses,0
ESPORTSTMNT02_2552854,Team Liquid,1
ESPORTSTMNT02_2552876,Team Liquid,1
ESPORTSTMNT02_2552876,Evil Geniuses,0
ESPORTSTMNT02_2575285,Astralis,0
ESPORTSTMNT02_2575285,SK Gaming,1
ESPORTSTMNT02_2575318,Rogue,1
ESPORTSTMNT02_2575318,GiantX,0
ESPORTSTMNT02_2555302,Team Vitality,1
ESPORTSTMNT02_2555302,Misfits Gaming,0
ESPORTSTMNT02_2575377,G2 Esports,1
ESPORTSTMNT02_2575377,Team BDS,0
ESPORTSTMNT02_2575406,MAD Lions KOI,0
ESPORTSTMNT02_2575406,Fnatic,1
ESPORTSTMNT02_2575790,Misfits Gaming,1
ESPORTSTMNT02_2575790,SK Gaming,0
ESPORTSTMNT02_2575812,Miners,0
ESPORTSTMNT02_2575812,RED Canids,1
ESPORTSTMNT02_2575831,MAD Lions KOI,1
