player,champion,games_played,winrate,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_dmg_share,avg_vspm,avg_gold_share,total_games,pickrate,avg_kda
Pun,Gwen,9,0.7777777777777778,3.4444444444444446,2.4444444444444446,5.333333333333333,667.5286333333333,0.30942144444444447,1.0504555555555557,0.23632522222222224,146,0.06164383561643835,3.590909090909091
Pretender,Taliyah,9,0.7777777777777778,3.5555555555555554,1.5555555555555556,6.333333333333333,560.0216777777778,0.2561306666666667,1.071811111111111,0.24043244444444445,142,0.06338028169014084,6.357142857142858
Driver,Gwen,9,0.7777777777777778,3.2222222222222223,2.111111111111111,5.111111111111111,566.1683555555555,0.2494948888888889,0.9957222222222223,0.2282162222222222,136,0.0661764705882353,3.947368421052631
Dhokla,Jayce,9,0.7777777777777778,3.0,3.7777777777777777,5.777777777777778,613.1282888888888,0.24768444444444448,1.3552666666666666,0.23525911111111114,126,0.07142857142857142,2.323529411764706
Enso,Milio,9,0.7777777777777778,0.5555555555555556,1.5555555555555556,12.11111111111111,64.25202222222222,0.0282346,2.8552555555555554,0.10078798888888889,118,0.07627118644067797,8.142857142857142
Gury,Maokai,9,0.3333333333333333,0.7777777777777778,2.7777777777777777,6.0,459.84299999999996,0.20282224444444444,1.3166333333333333,0.17409033333333335,102,0.08823529411764706,2.44
Dia1,Gragas,9,0.3333333333333333,2.111111111111111,4.111111111111111,4.666666666666667,492.1284444444444,0.238819,1.1414555555555554,0.1991188888888889,102,0.08823529411764706,1.648648648648649
Busio,Renata Glasc,9,0.6666666666666666,0.4444444444444444,1.8888888888888888,12.333333333333334,167.74181111111113,0.07137671111111112,3.431855555555556,0.09499332222222222,77,0.11688311688311688,6.764705882352942
Alex,Vi,9,0.3333333333333333,1.6666666666666667,3.3333333333333335,4.444444444444445,204.05243333333334,0.10444478888888889,1.6944777777777777,0.18760711111111114,56,0.16071428571428573,1.8333333333333335
BeryL,Yuumi,9,0.4444444444444444,0.7777777777777778,2.0,8.777777777777779,342.3321,0.14708895555555557,2.042733333333333,0.08886651111111112,267,0.033707865168539325,4.777777777777779
Revenge,Renekton,9,0.3333333333333333,2.0,3.2222222222222223,3.6666666666666665,547.5302222222222,0.25535755555555556,1.0281555555555555,0.23042311111111113,88,0.10227272727272728,1.7586206896551722
Tactical,Zeri,9,0.3333333333333333,4.888888888888889,2.5555555555555554,4.888888888888889,643.5301111111111,0.30636844444444444,1.4109,0.2704737777777778,83,0.10843373493975904,3.8260869565217397
Tactical,Aphelios,9,0.3333333333333333,3.5555555555555554,3.111111111111111,3.5555555555555554,616.0397222222223,0.27507544444444443,1.1200555555555556,0.2849732222222222,83,0.10843373493975904,2.2857142857142856
Oscarinin,Jax,9,0.3333333333333333,4.222222222222222,4.555555555555555,4.777777777777778,480.39363333333336,0.1867451111111111,1.0046222222222223,0.22054755555555555,83,0.10843373493975904,1.975609756097561
Noah,Ezreal,9,0.3333333333333333,4.888888888888889,2.6666666666666665,4.222222222222222,747.718,0.3007396666666666,1.0648888888888888,0.26216655555555557,81,0.1111111111111111,3.4166666666666665
