patch,level_1,ban_count,ban_rate,pick_count,pick_rate,ban_pick_count,ban_pick_rate,wins,games,win_rate
12.11,Yone,13.0,9.03,13.0,9.03,26.0,18.06,8.0,13.0,0.6153846153846154
12.11,Yuumi,34.0,23.61,24.0,16.67,58.0,40.28,14.0,24.0,0.5833333333333334
12.11,Zeri,100.0,69.44,34.0,23.61,134.0,93.06,22.0,34.0,0.6470588235294118
12.11,Zilean,4.0,2.78,1.0,0.69,5.0,3.47,1.0,1.0,1.0
12.11,Zoe,10.0,6.94,12.0,8.33,22.0,15.28,5.0,12.0,0.4166666666666667
12.11,unknown,1.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.12,Aatrox,4.0,1.7,11.0,4.68,15.0,6.38,7.0,11.0,0.6363636363636364
12.12,Ahri,71.0,30.21,60.0,25.53,131.0,55.74,30.0,60.0,0.5
12.12,Akali,13.0,5.53,19.0,8.09,32.0,13.62,8.0,19.0,0.42105263157894735
12.12,Akshan,1.0,0.43,1.0,0.43,2.0,0.85,1.0,1.0,1.0
12.12,Alistar,2.0,0.85,10.0,4.26,12.0,5.11,6.0,10.0,0.6
12.12,Amumu,15.0,6.38,29.0,12.34,44.0,18.72,17.0,29.0,0.5862068965517241
12.12,Aphelios,31.0,13.19,89.0,37.87,120.0,51.06,46.0,89.0,0.5168539325842697
12.12,Ashe,8.0,3.4,19.0,8.09,27.0,11.49,12.0,19.0,0.631578947368421
12.12,Azir,77.0,32.77,60.0,25.53,137.0,58.3,29.0,60.0,0.48333333333333334
12.12,Bard,1.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.12,Bel'Veth,9.0,3.83,7.0,2.98,16.0,6.81,3.0,7.0,0.42857142857142855
12.12,Blitzcrank,1.0,0.43,4.0,1.7,5.0,2.13,2.0,4.0,0.5
12.12,Braum,8.0,3.4,16.0,6.81,24.0,10.21,5.0,16.0,0.3125
12.12,Camille,7.0,2.98,15.0,6.38,22.0,9.36,7.0,15.0,0.4666666666666667
12.12,Corki,111.0,47.23,54.0,22.98,165.0,70.21,30.0,54.0,0.5555555555555556
12.12,Darius,1.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.12,Diana,6.0,2.55,7.0,2.98,13.0,5.53,5.0,7.0,0.7142857142857143
12.12,Draven,15.0,6.38,12.0,5.11,27.0,11.49,8.0,12.0,0.6666666666666666
12.12,Elise,1.0,0.43,1.0,0.43,2.0,0.85,1.0,1.0,1.0
12.12,Ezreal,23.0,9.79,25.0,10.64,48.0,20.43,11.0,25.0,0.44
12.12,Fiora,13.0,5.53,9.0,3.83,22.0,9.36,4.0,9.0,0.4444444444444444
12.12,Galio,9.0,3.83,4.0,1.7,13.0,5.53,3.0,4.0,0.75
12.12,Gangplank,75.0,31.91,62.0,26.38,137.0,58.3,29.0,62.0,0.46774193548387094
