patch,league,side,result,total_games,win_rate
13.18,IC,Blue,26,36.0,0.7222222222222222
13.18,IC,Red,10,36.0,0.2777777777777778
13.18,PCS,Blue,6,15.0,0.4
13.18,PCS,Red,9,15.0,0.6
13.18,PGN,Blue,11,20.0,0.55
13.18,PGN,Red,9,20.0,0.45
13.19,ESLOL,Blue,62,97.0,0.6391752577319587
13.19,ESLOL,Red,35,97.0,0.36082474226804123
13.19,IC,Blue,12,17.0,0.7058823529411765
13.19,IC,Red,5,17.0,0.29411764705882354
13.19,LAS,Blue,66,96.0,0.6875
13.19,LAS,Red,30,96.0,0.3125
13.19,PGN,Blue,10,19.0,0.5263157894736842
13.19,PGN,Red,9,19.0,0.47368421052631576
13.19,VCS,Blue,32,55.0,0.5818181818181818
13.19,VCS,Red,23,55.0,0.41818181818181815
13.19,WLDs,Blue,63,113.0,0.5575221238938053
13.19,WLDs,Red,50,113.0,0.4424778761061947
13.2,ESLOL,Blue,14,27.0,0.5185185185185185
13.2,ESLOL,Red,13,27.0,0.48148148148148145
13.2,IC,Blue,6,9.0,0.6666666666666666
13.2,IC,Red,3,9.0,0.3333333333333333
13.2,NEXO,Blue,4,8.0,0.5
13.2,NEXO,Red,4,8.0,0.5
13.21,ESLOL,Blue,6,11.0,0.5454545454545454
13.21,ESLOL,Red,5,11.0,0.45454545454545453
13.21,IC,Blue,6,11.0,0.5454545454545454
13.21,IC,Red,5,11.0,0.45454545454545453
13.21,LAS,Blue,24,48.0,0.5
13.21,LAS,Red,24,48.0,0.5
13.21,NEXO,Blue,7,16.0,0.4375
13.21,NEXO,Red,9,16.0,0.5625
13.22,NEXO,Blue,3,5.0,0.6
13.22,NEXO,Red,2,5.0,0.4
14.01,CBLOL,Blue,17,20.0,0.85
14.01,CBLOL,Red,3,20.0,0.15
14.01,EBL,Blue,4,11.0,0.36363636363636365
14.01,EBL,Red,7,11.0,0.6363636363636364
14.01,ESLOL,Blue,5,16.0,0.3125
14.01,ESLOL,Red,11,16.0,0.6875
14.01,GLL,Blue,9,16.0,0.5625
14.01,GLL,Red,7,16.0,0.4375
14.01,HM,Blue,9,16.0,0.5625
14.01,HM,Red,7,16.0,0.4375
14.01,LCK,Blue,35,70.0,0.5
14.01,LCK,Red,35,70.0,0.5
14.01,LCKC,Blue,50,80.0,0.625
14.01,LCKC,Red,30,80.0,0.375
14.01,LCO,Blue,14,20.0,0.7
14.01,LCO,Red,6,20.0,0.3
14.01,LCS,Blue,5,8.0,0.625
14.01,LCS,Red,3,8.0,0.375
14.01,LEC,Blue,23,45.0,0.5111111111111111
14.01,LEC,Red,22,45.0,0.4888888888888889
14.01,LFL,Blue,13,30.0,0.43333333333333335
14.01,LFL,Red,17,30.0,0.5666666666666667
14.01,LIT,Blue,8,16.0,0.5
14.01,LIT,Red,8,16.0,0.5
14.01,LJL,Blue,13,24.0,0.5416666666666666
14.01,LJL,Red,11,24.0,0.4583333333333333
14.01,LLA,Blue,14,26.0,0.5384615384615384
14.01,LLA,Red,12,26.0,0.46153846153846156
14.01,LPLOL,Blue,8,15.0,0.5333333333333333
14.01,LPLOL,Red,7,15.0,0.4666666666666667
14.01,LVP SL,Blue,18,30.0,0.6
14.01,LVP SL,Red,12,30.0,0.4
14.01,NACL,Blue,3,10.0,0.3
14.01,NACL,Red,7,10.0,0.7
14.01,NLC,Blue,7,15.0,0.4666666666666667
14.01,NLC,Red,8,15.0,0.5333333333333333
14.01,PCS,Blue,20,27.0,0.7407407407407407
14.01,PCS,Red,7,27.0,0.25925925925925924
14.01,PRM,Blue,14,30.0,0.4666666666666667
14.01,PRM,Red,16,30.0,0.5333333333333333
14.01,TCL,Blue,5,16.0,0.3125
14.01,TCL,Red,11,16.0,0.6875
14.01,TSC,Blue,19,41.0,0.4634146341463415
14.01,TSC,Red,22,41.0,0.5365853658536586
14.01,UL,Blue,14,23.0,0.6086956521739131
14.01,UL,Red,9,23.0,0.391304347826087
14.01,VCS,Blue,9,21.0,0.42857142857142855
14.01,VCS,Red,12,21.0,0.5714285714285714
14.02,AL,Blue,4,12.0,0.3333333333333333
14.02,AL,Red,8,12.0,0.6666666666666666
14.02,CBLOL,Blue,9,20.0,0.45
14.02,CBLOL,Red,11,20.0,0.55
14.02,CBLOLA,Blue,11,24.0,0.4583333333333333
14.02,CBLOLA,Red,13,24.0,0.5416666666666666
14.02,EBL,Blue,10,16.0,0.625
14.02,EBL,Red,6,16.0,0.375
14.02,ESLOL,Blue,12,15.0,0.8
14.02,ESLOL,Red,2,15.0,0.13333333333333333
14.02,GLL,Blue,5,8.0,0.625
14.02,GLL,Red,3,8.0,0.375
14.02,HM,Blue,8,11.0,0.7272727272727273
14.02,HM,Red,3,11.0,0.2727272727272727
14.02,LCK,Blue,9,21.0,0.42857142857142855
14.02,LCK,Red,12,21.0,0.5714285714285714
14.02,LCKC,Blue,14,25.0,0.56
14.02,LCKC,Red,11,25.0,0.44
14.02,LCO,Blue,12,22.0,0.5454545454545454
14.02,LCO,Red,10,22.0,0.45454545454545453
14.02,LCS,Blue,8,20.0,0.4
14.02,LCS,Red,12,20.0,0.6
14.02,LEC,Blue,26,40.0,0.65
14.02,LEC,Red,14,40.0,0.35
14.02,LFL,Blue,11,20.0,0.55
14.02,LFL,Red,9,20.0,0.45
14.02,LIT,Blue,7,16.0,0.4375
14.02,LIT,Red,9,16.0,0.5625
14.02,LJL,Blue,17,36.0,0.4722222222222222
14.02,LJL,Red,19,36.0,0.5277777777777778
14.02,LLA,Blue,16,28.0,0.5714285714285714
14.02,LLA,Red,12,28.0,0.42857142857142855
14.02,LPLOL,Blue,4,12.0,0.3333333333333333
14.02,LPLOL,Red,8,12.0,0.6666666666666666
14.02,LVP SL,Blue,14,20.0,0.7
14.02,LVP SL,Red,6,20.0,0.3
14.02,NACL,Blue,12,24.0,0.5
14.02,NACL,Red,12,24.0,0.5
14.02,NLC,Blue,6,16.0,0.375
14.02,NLC,Red,10,16.0,0.625
14.02,PCS,Blue,22,39.0,0.5641025641025641
14.02,PCS,Red,17,39.0,0.4358974358974359
14.02,PRM,Blue,10,20.0,0.5
14.02,PRM,Red,10,20.0,0.5
14.02,TCL,Blue,8,16.0,0.5
14.02,TCL,Red,8,16.0,0.5
14.02,UL,Blue,11,16.0,0.6875
14.02,UL,Red,5,16.0,0.3125
14.02,VCS,Blue,13,30.0,0.43333333333333335
14.02,VCS,Red,17,30.0,0.5666666666666667
14.03,AL,Blue,8,16.0,0.5
